name	amount	cr	encounter	session	fate
Aarakocra	1	0.25	1	1	killed
Drow*	1	0.25	1	1	killed-later
Deep Gnome (Svirfneblin)	1	0.5	1	1	killed
Bandit	1	0.125	1	1	killed
Kobold	1	0.125	1	1	killed
Returned Drifter	2	0.25	2	1	killed
Returned Sentry	1	1	2	1	killed
Harpy	1	1	3	2	killed
Blood-Toll Harpy	2	0.125	3	2	killed
Violet Fungus	1	0.25	3	2	killed
Broken King Antigonos	1	3	4	2	killed
Amphisbaena	1	0.5	5	3	killed
Returned Sentry	2	1	1	3	killed
Skulk	1	0.5	1	3	killed
Indentured Spirit	1	1	2	3	killed
Lampad	1	3	2	3	killed
Quasit	1	1	3	5	killed
Crawling Claw	4	0	4	5	killed
Slaad Tadpole	1	0.125	4	5	killed
Swarm of Animated Books	1	0.25	5	5	killed
Animated Broom	1	0.25	6	5	killed
Animated Chained Library	1	1	7	6	killed
Flying Sword	2	0.25	8	6	killed
Imp	1	1	9	6	killed
Goblin	2	0.25	10	6	killed
Hobgoblin	2	0.5	10	6	killed
Bugbear Gardener	1	1	11	6	killed
Koalinth	1	0.5	11	6	killed
Dire Wolf	1	1	12	6	killed
Wolf	2	0.25	12	6	killed
Goblin	1	0.25	1	7	killed
Goblin Boss*	1	1	2	7	killed-later
Koalinth	2	0.5	2	7	killed
Grenl*	2	0.25	2	7	killed-later
Bugbear	1	1	2	7	killed
Grabstab	1	1	3	7	killed
Nilbog	1	1	3	7	killed
Koalinth Sergeant	1	2	3	7	killed
Bugbear Chief	1	3	4	7	killed
Winter Wolf	1	3	4	7	killed
Booyahg Caster	2	0.25	4	7	killed
Duergar Hammerer	1	2	5	7	killed
Tabaxi Minstrel	1	0.25	5	7	survived
Drow	1	0.25	5	7	survived
Kalashtar	1	0.25	5	7	survived
Giant Poisonous Snake	1	0.25	5	7	killed
Gas Spore	1	0.5	5	7	killed
Redbrand Ruffian	2	0.5	6	8	killed
Drow Spy	1	1	6	8	killed
Black Earth Guard	1	2	6	8	killed
Bandagh	1	0.5	7	8	killed
Orog	1	2	8	8	killed
Orc War Chief	1	4	8	8	killed
Orc	4	0.5	8	8	killed
Young Ogre Servant	1	0.5	8	8	killed
Nothic	1	2	9	9	killed
Pirate Bosun	1	0.5	10	9	killed
Sacred Stone Monk	1	0.5	10	9	killed
Rakdos Performer, Fire Eater	1	1	10	9	killed
Skeleton Key	2	0.25	11	9	killed
Ogre Skeleton	1	2	11	9	killed
Bandit Captain	1	2	12	10	killed
Pirate Deck Wizard	1	1	12	10	killed
Bugbear Lieutenant	2	1	13	10	killed
Illusionist	1	3	13	10	killed
Horncaller	1	1	14	11	killed
Rakdos Performer, Blade Juggler	2	1	14	11	killed
