name	amount	cr
Aarakocra	1	0.25
Aberrant Cultist	1	8
Abominable Yeti	2	9
Acidic Mist Apparition	1	5
Adult Black Dragon	1	14
Adult Red Dracolich	1	17
Adult Red Dragon	1	17
Adult Kruthik	2	2
Adult Oblex	1	5
Advanced Detention Drone	2	7
Alkilith	1	11
Allowak Yeti	1	3
Amber Golem	1	10
Amonkhet Mummy	2	3
Amphisbaena	1	0.5
Animated Breath	1	6
Animated Broom	2	0.25
Animated Chained Library	1	1
Animated Halberd	10	0.25
Ankheg	4	2
Arcanaloth	1	12
Archer	1	3
Ash Zombie	8	0.25
Ashen Heir Veteran	2	3
Ashen Shambling Mound	1	5
Assassin	1	8
Assassin Vine	3	3
Astral Blight	3	1
Baba Lysaga	1	11
Baba Lysaga’s Creeping Hut	1	11
Bandagh	1	0.5
Bandit	1	0.125
Bandit Captain	1	2
Banshee	2	4
Barlgura	6	5
Battleforce Angel	1	5
Berserker	2	2
Black Earth Guard	1	2
Black Earth Priest	2	3
Black Gauntlet of Bane	1	6
Black Pudding	2	4
Blaze	3	5
Blight Totem Elemental	3	0.5
Blistercoil Weird	1	4
Blood-Toll Harpy	3	0.125
Boneless	13	1
Booyahg Caster	2	0.25
Booyahg Slave of the Archfey	1	4
Broken King Antifonos	1	3
Bugbear	1	1
Bugbear Chief	1	3
Bugbear Gardener	1	1
Bugbear Lieutenant	6	1
Bugbear Warrior	10	1
Bulezau	1	3
Carionette	1	1
Cave Dragon Wyrmling	1	2
Cave Fisher	2	3
Cavil Zaltobar	1	6
Chimera	1	6
Chitine	5	0.5
Choker	2	1
Choldrith	1	3
Clay Gladiator	4	5
Clay Golem	1	9
Cloaker	1	8
Coldlight Walker	3	5
Corpse Flower	1	8
Corpse Mound	1	11
Corrin Delmaco	1	1
Crab Folk	2	3
Crawling Claw	4	0
Cult Fanatic	12	2
Cultist	4	0.125
Cultist Fanatic	6	2
Cultist Hierophant	1	10
Dagdra Deepforge	1	2
Darkling Elder	2	2
Dao	1	11
Deadbark Dryad	1	13
Death Dog	1	1
Deathlock Wight	4	3
Deep Gnome (Svirfneblin)	1	0.5
Demon Ichor	1	4
Demonfeed Spider	1	8
Demonfeed Spiderling	2	1
Derro	2	0.25
Detached Shadow	2	0.5
Devil Dog	1	0.25
Dire Wolf	4	1
Diseased Grick	2	2
Dolgaunt	1	3
Doomguard Doom Lord	1	12
Doppelganger	2	3
Draconian Mage	1	2
Dragonblood Ooze	1	5
Dragonbone Golem	1	11
Dragonborn of Tiamat	1	7
Drannin Splithelm	1	7
Dread Doppelganger	2	5
Dretch	10	0.25
Drow	2	0.25
Drow Acolyte	5	0.25
Drow Bandit	6	0.125
Drow Cultist	6	0.125
Drow Guard	10	0.125
Drow Gunslinger	1	4
Drow Noble	7	0.125
Drow Spy	2	1
Druid	2	2
Druid of the Old Ways	1	7
Duergar Hammerer	1	2
Duergar Screamer	5	3
Dum-Dum Goblin	6	0.25
Durnn	1	1
Dusk Hag	1	6
Dwarf Skeleton	10	0.5
Dwarven Worker	8	0.5
Earth Elemental Myrmidon	1	7
Eater of Hope	1	6
Eldritch Priest	6	2
Emberhorn Minotaur	1	3
Emerald Dragon Wyrmling	1	2
Endelyn Moongrave	1	6
Enormous Tentacle	6	2
Ettercap	1	2
Evil Mage	1	1
Ezmerelda d’Avenir	1	8
Feathergale Knight	8	1
Felbarren Dwarf	2	0.125
Fiendish Giant Spider	4	0.5
Fiendish Orc	5	4
Fire Giant Forgecaller	1	18
Fire Giant of Evil Fire	1	10
Fie Giant Servant	4	5
Fire Hellion	1	11
Fire Snake	1	1
Fist of Bane	2	0.5
Flameskull	4	4
Flaming Skeleton	4	0.5
Flesh Meld	2	7
Flitterstep Eidolon	1	3
Flying Horror	2	3
Flying Rocking Horse	1	0.125
Flying Sword	2	0.25
Fomorian	1	8
Fomorian Deep Crawler	2	10
Frost Druid	1	5
Frost Giant Everlasting One	1	12
Gargoyle	8	2
Gas Spore	3	0.5
Ghast	8	2
Ghoul	28	1
Giant Lightning Eel	4	3
Giant Poisonous Snake	1	0.25
Giant Shark	1	5
Giant Snail	1	0.25
Giant Vulture	4	1
Giant Wasp	4	0.5
Giant Wolf Spider	3	0.25
Girallon Zombie	2	3
Gladiator	1	5
Glasswork Golem	1	2
Gloom Weaver	1	9
Gnoll Hunter	5	0.5
Gnoll Pack Lord	1	2
Gnoll Witherling	2	0.25
Goblin	3	0.25
Goblin Boss	3	1
Goblin Gang Member	14	0.25
Goblin Hexer	1	3
Gorgon	1	5
Gorvan Ironheart	2	2
Grabstab	1	1
Gray Ooze	1	0.5
Great Chief Halric Bonesnapper	2	2
Greater Shadow Horror	1	12
Green Hag	1	3
Gremlin	1	0.5
Grenl	15	0.25
Grick Alpha	1	7
Grim Jester	1	11
Grippli Warrior	20	0.25
Groff	1	4
Guard	16	0.125
Guardian Portrait	1	1
Half-Red Dragon Veteran	1	5
Hamadryad	1	2
Harpy	3	1
Harpy Monarch	1	5
Haze Wight	7	3
Helga Ruvak	1	5
Heralds of Dust Exorcist	1	6
Hezrou	1	8
Hill Giant	8	5
Hill Giant Avalancher	1	12
Hill Giant Subchief	1	7
Hobgoblin	4	0.5
Hobgoblin Captain	3	3
Hobgoblin Devastator	2	4
Hobgoblin Warlord	1	6
Hobgoblin Warrior	4	0.5
Horncaller	1	1
Howling Hatred Initiate	7	0.125
Howling Hatred Priest	4	2
Hrabbaz	1	5
Huge Giant Crab	2	8
Huge Gray Ooze	1	8
Humanoid Mutate	3	4
Husk Zombie	6	1
Hybrid Flier	1	2
Hybrid Poisoner	1	1
Illusionist	1	3
Imp	2	1
Incubus	2	4
Indentured Spirit	1	1
Inkling Mascot	1	0.25
Invisible Stalker	1	6
Iron Consul	4	2
Iron Golem	2	16
Isendraug	1	13
Izek Strazni	1	5
Jerot Galgin	1	9
Junior Drow Priestess of Lolth	1	2
Kalaman Soldier	5	0.5
Kalashtar	1	0.25
Kas the Betrayer	1	23
Kasimir Velikov	1	6
Keg Robot	1	2
Khalessa Draga	1	1
Knight	2	3
Koalinth	6	0.5
Koalinth Sergeant	2	2
Kobold	1	0.125
Kobold Elite	20	0.125
Kobold Vampire Spawn	8	3
Kraken Priest	7	1
Lampad	1	3
Large Mimic	1	3
Leonin Iconoclast	2	5
Lich Troll	1	14
Lightning Golem	1	5
Living Doll	1	2
Lonely Sorrowsworn	1	9
Lord’s Alliance Guard	1	0.25
Lost Sorrowsworn	1	7
Mad Golem	1	12
Malformed Kraken	1	10
Marid	2	11
Mask Wight	1	13
Master Thief	4	5
Maw Demon	12	1
Mimic	1	2
Mind Drinker Vampire	6	4
Mind Flayer Nothic	2	2
Mindrot Thrall	1	3
Minotaur	1	3
Minsc & Boo\!	1	10
Moonlit King	1	17
Morgantha (Coven)	1	7
Mormesk the Wraith	1	3
Mouth of Grolantor	1	6
Mud Mephit	1	0.25
Mummy	2	3
Musharib	1	1
Mwaxanaré	1	0.125
Needle Blight	17	0.25
Needle Lord	1	3
Nezznar the Black Spider	1	2
Night Blade	2	0.25
Night Hag (Coven)	2	7
Nightveil Specter	2	10
Nilbog	3	1
Nimblewright	1	4
Noble	1	0.125
Nothic	10	2
Nupperibo	20	0.5
Oblex Spawn	1	0.25
Oculo Swarm	1	4
Ogre	4	2
Ogre Bolt Launcher	1	2
Ogre Chain Brute	1	3
Ogre Skeleton	1	2
Ogre Zombie	2	2
Ogrillon Ogre	1	1
Orc	10	0.5
Orc Blade of Ilneval	3	4
Orc Claw of Luthic	1	2
Orc War Chief	1	4
Ordeal Tree	1	12
Oriq Blood Mage	2	9
Orog	1	2
Otyugh	1	5
Owlbear	1	3
Pale Man	1	13
Panopticus Wizard	2	0.25
Phaerimm Elder	1	14
Phaerimm Scout	4	2
Phase Spider	1	3
Piercer	3	0.5
Pirate Bosun	1	0.5
Pirate Captain	3	2
Pirate Deck Wizard	1	1
Precognitive Mage	4	3
Priest	1	2
Primeval Owlbear	1	7
Prismari Pledgemage	1	4
Quasit	2	1
Queen of Night and Magic	1	21
Queen of Witches	1	17
Rakdos Performer, Blade Juggler	5	1
Rakdos Performer, Fire Eater	2	1
Rakdos Performer, High-Wire Acrobat	1	1
Razorvine Blight	3	1
Reckoner	1	4
Red Dragon Wyrmling	4	4
Redbrand Ruffian	2	0.5
Redtooth Werefox	1	3
